,Dato,Kvitteringer,eResept,NAV,Basismeldinger,Folkehelseinstituttet,Dialogmeldinger,Systemmeldinger,Pleie- og omsorgsmeldinger,Partnermeldinger,Skatteetaten,Helsedirektoratet,Kreftmeldinger,Neonatal,Ikke spesifisert,Ikke Kategoriserte,Totalt antall meldinger,Antall ebxml meldinger,Antall medisinske meldinger,Ikke kategorisert,Antall ikke ebxml meldinger,eResept-meldinger,NAV- og HELFO-meldinger,FHI-meldinger,eResept-meldinger 
319,2017-11-16,1132885,422344.0,227641.0,144368,32078.0,11686,6832,5595,303.0,151,272,0,0.0,5.0,1372,2012118,1985532,844140,,,,,,
320,2017-11-17,1313535,491419.0,202479.0,133740,60889.0,11101,4993,5766,278.0,131,199,11,153.0,12.0,1189,2252952,2225895,905900,,,,,,
321,2017-11-18,353412,216063.0,23141.0,18188,1187.0,1444,3114,1662,45.0,141,84,0,0.0,0.0,368,624875,618849,261910,,,,,,
322,2017-11-19,123099,16503.0,17853.0,12896,1275.0,1707,2951,1584,53.0,124,53,0,0.0,0.0,429,182381,178527,51995,,,,,,
323,2017-11-20,1210013,461029.0,165047.0,140284,33388.0,12492,4942,6325,267.0,144,202,0,31.0,67.0,1444,2063503,2035675,819009,,,,,,
324,2017-11-21,1179492,474729.0,137213.0,140483,32014.0,12269,12008,6168,300.0,154,214,0,76.0,1.0,1595,2028281,1996716,803321,,,,,,
325,2017-11-22,1146714,386308.0,126516.0,146982,36697.0,12304,5626,5722,236.0,146,274,0,0.0,55.0,1392,1893867,1868972,715004,,,,,,
326,2017-11-23,1162465,433410.0,125262.0,149701,27791.0,12085,9758,5628,265.0,140,315,0,0.0,2.0,1425,1953361,1928247,754334,,,,,,
327,2017-11-24,1080623,472028.0,114264.0,131220,21101.0,11199,5780,5763,247.0,151,227,9,0.0,11.0,1552,1865573,1844175,755973,,,,,,
328,2017-11-25,323690,208676.0,19917.0,18371,870.0,1545,7971,1611,45.0,132,142,0,0.0,0.0,494,588487,583464,251264,,,,,,
329,2017-11-26,145796,21810.0,21343.0,16278,908.0,2176,7638,2072,28.0,133,127,0,0.0,0.0,607,222675,218916,64847,,,,,,
330,2017-11-27,1099016,351374.0,168965.0,140640,21019.0,12534,6527,6403,304.0,137,215,7,0.0,0.0,1687,1835783,1808828,701294,,,,,,
331,2017-11-28,1046392,326057.0,147529.0,145400,28343.0,12452,5010,5832,324.0,154,282,324,0.0,10.0,1594,1745343,1719703,666383,,,,,,
332,2017-11-29,1026897,324651.0,142547.0,150745,24743.0,12380,4510,5777,275.0,141,184,0,0.0,33.0,1475,1721776,1694358,661201,,,,,,
333,2017-11-30,1063744,376085.0,142974.0,144496,28811.0,11746,4535,5821,349.0,133,466,0,0.0,5.0,3638,1808948,1782803,710537,,,,,,
334,2018-01-01,86942,17223.0,26887.0,12148,1073.0,1677,4742,2124,27.0,121,102,0,39.0,0.0,320,157309,153425,61394,,,,,,
335,2018-01-02,938363,239065.0,245537.0,104609,21454.0,12598,6216,6563,234.0,170,685,0,580.0,7.0,17344,1621100,1593425,631268,,,,,,
336,2018-01-03,937064,240025.0,220972.0,122623,20982.0,12646,4663,6424,305.0,162,677,0,112.0,14.0,42252,1629708,1608921,624637,,,,,,
337,2018-01-04,1003622,262300.0,226655.0,137734,19063.0,13314,4334,6592,294.0,163,585,0,190.0,17.0,42927,1740572,1717790,666613,,,,,,
338,2018-01-05,968958,282614.0,190419.0,133396,15143.0,12921,4820,6586,334.0,174,537,200,249.0,6.0,33606,1669799,1649963,642245,,,,,,
339,2018-01-06,212886,119982.0,27804.0,17973,992.0,1376,4573,1790,41.0,128,211,0,0.0,0.0,2573,397857,390329,170256,,,,,,
340,2018-01-07,74181,12291.0,21296.0,12118,757.0,1634,4495,1681,57.0,131,300,0,0.0,0.0,255,146606,129196,50208,,,,,,
341,2018-01-08,1252958,461316.0,250822.0,143101,24898.0,13554,4930,6646,337.0,134,451,0,84.0,11.0,1880,2196710,2161122,901017,,,,,,
